Time,w_f_0,F_0,N1_0
0,0,1.8,33420
0.05,0,1.8,33420
0.1,0,1.79862745098039,33420.4
0.15,0,1.79372549019608,33440.2
0.2,0,1.79,33450
0.25,0,1.79,33450.4
0.3,0,1.79203883495146,33469.6
0.35,0,1.80660194174757,33450.4
0.4,0,1.82,33470
0.45,0,1.82,33470
0.5,0,1.82,33480
0.55,0,1.81019607843137,33479.8
0.6,0,1.80039215686274,33470.2
0.65,0,1.8,33480
0.7,0,1.8,33480
0.75,0,1.8,33480
0.8,0,1.8,33479.8
0.85,0,1.79607843137255,33470.2
0.9,0,1.79117647058824,33480
0.95,0,1.79,33480
1,0,1.79,33479.8
1.05,0,1.80009615384616,33470.2
1.1,0,1.81451923076923,33480
1.15,0,1.81409523809524,33480.4
1.2,0,1.80457142857143,33499.6
1.25,0,1.8,33480.4
1.3,0,1.8,33500
1.35,0,1.8,33499.6
1.4,0,1.8,33480.4
1.45,0,1.8,33499.6078431373
1.5,0,1.8,33480
1.55,0,1.8,33500.4
1.6,0,1.8,33519.6
1.65,0,1.80254901960784,33500
1.7,0,1.81235294117647,33500
1.75,0,1.82,33499.6
1.8,0,1.82,33480
1.85,0,1.81882352941176,33480
1.9,0,1.80901960784314,33480
1.95,0,1.8,33480
2,0,1.8,33480.4
2.05,0,1.8,33499.6
2.1,0,1.8,33480.4
2.15,0,1.8,33500
2.2,0,1.8,33500.4
2.25,0,1.8,33520
2.3,0,1.81264705882353,33520.2
2.35,0,1.82735294117647,33530
2.4,0,1.82601941747573,33530
2.45,0,1.82116504854369,33530
2.5,0,1.81269230769231,33530
2.55,0,1.80307692307692,33530
2.6,0,1.8,33550
2.65,0,1.8,33550
2.7,0,1.8,33550.2
2.75,0,1.8,33559.8
2.8,0,1.79740384615384,33550
2.85,0,1.79259615384615,33550.1960784314
2.9,0,1.79223300970874,33560
2.95,0,1.79708737864078,33550
3,0,1.80392156862745,33550
3.05,0,1.81372549019608,33550
3.1,0,1.82173076923077,33550
3.15,0,1.82653846153846,33550.2
3.2,0,1.82461538461539,33559.8
3.25,0,1.80538461538462,33550.2
3.3,0,1.79,33560
3.35,0,1.79,33560
3.4,0,1.78864077669903,33559.8
3.45,0,1.77893203883495,33550
3.5,0,1.77077669902913,33550
3.55,0,1.78048543689321,33550.2
3.6,0,1.79009708737864,33559.8
3.65,0,1.79495145631068,33550
3.7,0,1.79980582524272,33550
3.75,0,1.8,33549.6
3.8,0,1.8,33530
3.85,0,1.7959595959596,33530.4
3.9,0,1.79090909090909,33550.6
3.95,0,1.79,33579.6
4,0,1.79,33559.8
4.05,0,1.79352941176471,33550.2
4.1,0,1.79843137254902,33560
4.15,0,1.79009708737864,33559.8
4.2,0,1.77553398058252,33549.6
4.25,0,1.76409523809524,33530
4.3,0,1.75457142857143,33529.4
4.35,0,1.755,33500
4.4,0,1.76461538461539,33500
4.45,0,1.77435643564357,33500
4.5,0,1.78425742574257,33500.4
4.55,0,1.78596153846154,33519.6
4.6,0,1.77634615384615,33500
4.65,0,1.77,33500
4.7,0,1.77,33499.6
4.75,0,1.76714285714286,33479.8
4.8,0,1.75761904761905,33469.6
4.85,0,1.75194174757282,33449.8039215686
4.9,0,1.76165048543689,33440
4.95,0,1.76865384615385,33399.8
5,0,1.75903846153846,33389.4
5.05,0,1.75059405940594,33359.6226415094
5.1,0,1.76049504950495,33340.7547169811
5.15,0,1.77057692307693,33310
5.2,0,1.785,33310
5.25,0,1.79942307692308,33310
5.3,0,1.79533980582524,33290
5.35,0,1.7904854368932,33290
5.4,0,1.79,33289.8
5.45,0,1.79,33279.6
5.5,0,1.78219047619048,33259.6078431373
5.55,0,1.77266666666666,33240
5.6,0,1.76287128712871,33239.8039215686
5.65,0,1.7529702970297,33230
5.7,0,1.75673076923077,33230
5.75,0,1.76634615384615,33230
5.8,0,1.77,33230.2
5.85,0,1.77,33240
5.9,0,1.77,33239.8
5.95,0,1.77,33230
6,0,1.76533980582524,33229.6
6.05,0,1.75563106796116,33210.4
6.1,0,1.75,33229.6
6.15,0,1.75,33210
6.2,0,1.75333333333333,33210
6.25,0,1.76313725490196,33210
6.3,0,1.76711538461538,33210.4
6.35,0,1.7575,33230
6.4,0,1.74894230769231,33230
6.45,0,1.74413461538461,33230
6.5,0,1.74067961165049,33230.2
6.55,0,1.74553398058253,33240
6.6,0,1.75155339805825,33240
6.65,0,1.77097087378641,33239.8039215686
6.7,0,1.79,33230
6.75,0,1.79,33209.8
6.8,0,1.79,33200
6.85,0,1.79457142857143,33200
6.9,0,1.79933333333333,33200
6.95,0,1.78747572815534,33200
7,0,1.77291262135922,33200.2
7.05,0,1.76207920792079,33210
7.1,0,1.75217821782178,33210
7.15,0,1.75742857142857,33210
7.2,0,1.76695238095238,33210
7.25,0,1.77,33210
7.3,0,1.77,33210
7.35,0,1.77,33210
7.4,0,1.77,33210.6
7.45,0,1.77,33240
7.5,0,1.77,33240
7.55,0,1.76549019607843,33260
7.6,0,1.7556862745098,33259.6
7.65,0,1.75,33240
7.7,0,1.75,33239.8
7.75,0,1.74352380952381,33229.4
7.8,0,1.72447619047619,33199.6
7.85,0,1.71352941176471,33179.6
7.9,0,1.72823529411765,33160
7.95,0,1.74098039215686,33160
8,0,1.74588235294118,33160
8.05,0,1.74925925925926,33160.4
8.1,0,1.74462962962963,33180
8.15,0,1.74,33180.4
8.2,0,1.73,33200
8.25,0,1.72,33199.6078431373
8.3,0,1.72980392156863,33180
8.35,0,1.73960784313726,33199.6
8.4,0,1.74466019417476,33180
8.45,0,1.7495145631068,33179.6078431373
8.5,0,1.75865384615385,33160
8.55,0,1.76826923076923,33160
8.6,0,1.77,33160
8.65,0,1.77,33160
8.7,0,1.77,33150.1960784314
8.75,0,1.77,33160
8.8,0,1.76339805825243,33160
8.85,0,1.75368932038835,33160
8.9,0,1.75590476190476,33150
8.95,0,1.76542857142857,33150
9,0,1.77509803921569,33150
9.05,0,1.78490196078432,33149.6
9.1,0,1.79,33130
9.15,0,1.79,33129.8
9.2,0,1.78580952380952,33120.1960784314
9.25,0,1.77628571428571,33130
9.3,0,1.77,33120
9.35,0,1.77,33119.6
9.4,0,1.77,33100
9.45,0,1.77,33100.3921568627
9.5,0,1.77196078431373,33120
9.55,0,1.78176470588236,33120
9.6,0,1.79,33119.6078431373
9.65,0,1.79,33100
9.7,0,1.78941176470588,33079.8039215686
9.75,0,1.77960784313726,33070
9.8,0,1.76980769230769,33080.4
9.85,0,1.76019230769231,33100
9.9,0,1.75057692307692,33100
9.95,0,1.74548076923077,33100.4
10,0,1.74067307692308,33120
10.05,0,1.74417475728155,33120.6
10.1,0,1.74902912621359,33150
10.15,0,1.73823529411765,33150
10.2,0,1.72352941176471,33150.2
10.25,0,1.72730769230769,33160
10.3,0,1.73692307692308,33160
10.35,0,1.74326923076923,33160
10.4,0,1.74807692307692,33160
10.45,0,1.74705882352941,33160.4
10.5,0,1.7421568627451,33180.4
10.55,0,1.74815533980583,33200
10.6,0,1.76271844660194,33200
10.65,0,1.77480769230769,33200
10.7,0,1.78442307692308,33200
10.75,0,1.79,33200
10.8,0,1.79,33200
10.85,0,1.79,33199.6078431373
10.9,0,1.79,33180
10.95,0,1.78730769230769,33180
11,0,1.77769230769231,33180
11.05,0,1.76805825242718,33180.3921568627
11.1,0,1.75834951456311,33200
11.15,0,1.75,33200
11.2,0,1.75,33200
11.25,0,1.75096153846154,33199.6
11.3,0,1.76057692307692,33180.4
11.35,0,1.76980582524272,33200.2
11.4,0,1.76009708737864,33210
11.45,0,1.75038834951456,33210
11.5,0,1.75,33210.4
11.55,0,1.75,33229.6078431373
11.6,0,1.75854368932039,33210
11.65,0,1.76825242718447,33230
11.7,0,1.77,33230
11.75,0,1.77,33230
11.8,0,1.78067307692308,33230
11.85,0,1.79509615384615,33229.6
11.9,0,1.8,33210.6
11.95,0,1.8,33239.8
12,0,1.79699029126214,33230
12.05,0,1.7921359223301,33230.2
12.1,0,1.79,33240
12.15,0,1.79,33240
12.2,0,1.78067961165048,33240
12.25,0,1.76126213592233,33260
12.3,0,1.74798076923077,33240
12.35,0,1.74317307692308,33240
12.4,0,1.74165048543689,33230
12.45,0,1.74650485436893,33230
12.5,0,1.75266666666667,33230
12.55,0,1.76219047619048,33210
12.6,0,1.76823529411764,33210
12.65,0,1.75843137254902,33210.4
12.7,0,1.75137254901961,33230.6
12.75,0,1.76117647058824,33259.6
12.8,0,1.77,33240.8
12.85,0,1.77,33280
12.9,0,1.77,33280
12.95,0,1.76029126213592,33260.4
13,0,1.75058252427184,33279.6
13.05,0,1.76773584905661,33260
13.1,0,1.78660377358491,33260.4
13.15,0,1.7818,33279.6
13.2,0,1.7718,33259.6
13.25,0,1.78194174757282,33240.4
13.3,0,1.79650485436894,33259.6
13.35,0,1.8073786407767,33240
13.4,0,1.81708737864078,33240
13.45,0,1.81326923076923,33240
13.5,0,1.80365384615385,33240
13.55,0,1.79114285714285,33239.8
13.6,0,1.77685714285714,33230
13.65,0,1.77,33230
13.7,0,1.77,33230.2
13.75,0,1.76553398058252,33240
13.8,0,1.75582524271844,33240
13.85,0,1.75,33240
13.9,0,1.75,33260
13.95,0,1.75,33260.4
14,0,1.75,33280
14.05,0,1.75,33280
14.1,0,1.75,33280
14.15,0,1.7476,33280
14.2,0,1.7326,33289.4
14.25,0,1.72153846153846,33260.6
14.3,0,1.73115384615385,33290.3921568627
14.35,0,1.74194174757282,33310
14.4,0,1.76621359223301,33290
14.45,0,1.79,33290
14.5,0,1.79,33289.8039215686
14.55,0,1.79,33280
14.6,0,1.76718446601941,33310
14.65,0,1.74291262135922,33310
14.7,0,1.73145631067961,33310.2
14.75,0,1.72174757281553,33319.8
14.8,0,1.74786407766991,33310
14.85,0,1.78184466019418,33310.2
14.9,0,1.79368932038835,33320.4
14.95,0,1.79854368932039,33340
15,0,1.8,33339.6
15.05,0,1.8,33320
15.1,0,1.78523809523809,33320.4
15.15,0,1.76142857142857,33340
15.2,0,1.75504854368932,33340
15.25,0,1.7647572815534,33339.6
15.3,0,1.76549019607843,33320
15.35,0,1.7556862745098,33320
15.4,0,1.748,33320
15.45,0,1.74323809523809,33320
15.5,0,1.74,33320
15.55,0,1.74,33320
15.6,0,1.74,33319.8039215686
15.65,0,1.74,33310
15.7,0,1.74314285714286,33310
15.75,0,1.75742857142857,33310
15.8,0,1.77,33309.6
15.85,0,1.77,33290
15.9,0,1.77,33289.8
15.95,0,1.77,33279.6
16,0,1.77,33259.6
16.05,0,1.77,33240
16.1,0,1.77,33239.8
16.15,0,1.77,33230
16.2,0,1.77,33230
16.25,0,1.75752475247525,33230
16.3,0,1.74267326732673,33230
16.35,0,1.74398058252427,33229.6
16.4,0,1.74883495145631,33210.4
16.45,0,1.75,33229.6
16.5,0,1.75,33210
16.55,0,1.75,33210
16.6,0,1.75,33209.8
16.65,0,1.74698113207547,33200
16.7,0,1.7422641509434,33200.2
16.75,0,1.735,33209.8
16.8,0,1.72538461538461,33200.2
16.85,0,1.72,33210
16.9,0,1.72,33209.8
16.95,0,1.72403846153846,33200
17,0,1.73365384615385,33200
17.05,0,1.74165048543689,33199.6
17.1,0,1.74650485436893,33179.6
17.15,0,1.74865384615385,33159.8
17.2,0,1.74384615384615,33149.6
17.25,0,1.7380198019802,33130
17.3,0,1.72811881188118,33129.8039215686
17.35,0,1.72432692307693,33120
17.4,0,1.74836538461539,33120.2
17.45,0,1.77,33130
17.5,0,1.77,33130.4
17.55,0,1.76980582524272,33150
17.6,0,1.76009708737864,33150
17.65,0,1.75038834951456,33150.2
17.7,0,1.75,33159.8
17.75,0,1.75,33150
17.8,0,1.75843137254902,33150
17.85,0,1.76823529411765,33150
17.9,0,1.77,33150
17.95,0,1.77,33150
18,0,1.75922330097087,33150
18.05,0,1.74466019417475,33150
18.1,0,1.73339805825243,33160
18.15,0,1.72368932038835,33160.4
18.2,0,1.72596153846154,33180
18.25,0,1.73557692307692,33180
18.3,0,1.74,33180
18.35,0,1.74,33180
18.4,0,1.7422,33180
18.45,0,1.7472,33180
