Time,w_f_0,F_0,N1_0
100,0,1.8,33420
100.05,0,1.8,33420
100.1,0,1.79862745098039,33420.4
100.15,0,1.79372549019608,33440.2
100.2,0,1.79,33450
100.25,0,1.79,33450.4
100.3,0,1.79203883495146,33469.6
100.35,0,1.80660194174757,33450.4
100.4,0,1.82,33470
100.45,0,1.82,33470
100.5,0,1.82,33480
100.55,0,1.81019607843137,33479.8
100.6,0,1.80039215686274,33470.2
100.65,0,1.8,33480
100.7,0,1.8,33480
100.75,0,1.8,33480
100.8,0,1.8,33479.8
100.85,0,1.79607843137255,33470.2
100.9,0,1.79117647058824,33480
100.95,0,1.79,33480
101,0,1.79,33479.8
101.05,0,1.80009615384616,33470.2
101.1,0,1.81451923076923,33480
101.15,0,1.81409523809524,33480.4
101.2,0,1.80457142857143,33499.6
101.25,0,1.8,33480.4
101.3,0,1.8,33500
101.35,0,1.8,33499.6
101.4,0,1.8,33480.4
101.45,0,1.8,33499.6078431373
101.5,0,1.8,33480
101.55,0,1.8,33500.4
101.6,0,1.8,33519.6
101.65,0,1.80254901960784,33500
101.7,0,1.81235294117647,33500
101.75,0,1.82,33499.6
101.8,0,1.82,33480
101.85,0,1.81882352941176,33480
101.9,0,1.80901960784314,33480
101.95,0,1.8,33480
102,0,1.8,33480.4
102.05,0,1.8,33499.6
102.1,0,1.8,33480.4
102.15,0,1.8,33500
102.2,0,1.8,33500.4
102.25,0,1.8,33520
102.3,0,1.81264705882353,33520.2
102.35,0,1.82735294117647,33530
102.4,0,1.82601941747573,33530
102.45,0,1.82116504854369,33530
102.5,0,1.81269230769231,33530
102.55,0,1.80307692307692,33530
102.6,0,1.8,33550
102.65,0,1.8,33550
102.7,0,1.8,33550.2
102.75,0,1.8,33559.8
102.8,0,1.79740384615384,33550
102.85,0,1.79259615384615,33550.1960784314
102.9,0,1.79223300970874,33560
102.95,0,1.79708737864078,33550
103,0,1.80392156862745,33550
103.05,0,1.81372549019608,33550
103.1,0,1.82173076923077,33550
103.15,0,1.82653846153846,33550.2
103.2,0,1.82461538461539,33559.8
103.25,0,1.80538461538462,33550.2
103.3,0,1.79,33560
103.35,0,1.79,33560
103.4,0,1.78864077669903,33559.8
103.45,0,1.77893203883495,33550
103.5,0,1.77077669902913,33550
103.55,0,1.78048543689321,33550.2
103.6,0,1.79009708737864,33559.8
103.65,0,1.79495145631068,33550
103.7,0,1.79980582524272,33550
103.75,0,1.8,33549.6
103.8,0,1.8,33530
103.85,0,1.7959595959596,33530.4
103.9,0,1.79090909090909,33550.6
103.95,0,1.79,33579.6
104,0,1.79,33559.8
104.05,0,1.79352941176471,33550.2
104.1,0,1.79843137254902,33560
104.15,0,1.79009708737864,33559.8
104.2,0,1.77553398058252,33549.6
104.25,0,1.76409523809524,33530
104.3,0,1.75457142857143,33529.4
104.35,0,1.755,33500
104.4,0,1.76461538461539,33500
104.45,0,1.77435643564357,33500
104.5,0,1.78425742574257,33500.4
104.55,0,1.78596153846154,33519.6
104.6,0,1.77634615384615,33500
104.65,0,1.77,33500
104.7,0,1.77,33499.6
104.75,0,1.76714285714286,33479.8
104.8,0,1.75761904761905,33469.6
104.85,0,1.75194174757282,33449.8039215686
104.9,0,1.76165048543689,33440
104.95,0,1.76865384615385,33399.8
105,0,1.75903846153846,33389.4
105.05,0,1.75059405940594,33359.6226415094
105.1,0,1.76049504950495,33340.7547169811
105.15,0,1.77057692307693,33310
105.2,0,1.785,33310
105.25,0,1.79942307692308,33310
105.3,0,1.79533980582524,33290
105.35,0,1.7904854368932,33290
105.4,0,1.79,33289.8
105.45,0,1.79,33279.6
